qualified_third_groups,match_id,third_group
C-D-E-F-H-I-J-K,M79,C
C-D-E-F-H-I-J-K,M80,K
C-D-E-F-H-I-J-K,M81,E
C-D-E-F-H-I-J-K,M82,H
C-D-E-F-H-I-J-K,M85,J
C-D-E-F-H-I-J-K,M87,I
C-D-E-F-G-J-K-L,M74,D
C-D-E-F-G-J-K-L,M77,F
C-D-E-F-G-J-K-L,M79,C
C-D-E-F-G-J-K-L,M80,K
C-D-E-F-G-J-K-L,M81,E
C-D-E-F-G-J-K-L,M82,J
C-D-E-F-G-J-K-L,M85,G
C-D-E-F-G-J-K-L,M87,L
C-D-E-F-G-I-K-L,M74,D
C-D-E-F-G-I-K-L,M77,F
C-D-E-F-G-I-K-L,M79,C
C-D-E-F-G-I-K-L,M80,K
C-D-E-F-G-I-K-L,M81,E
C-D-E-F-G-I-K-L,M82,I
C-D-E-F-G-I-K-L,M85,G
C-D-E-F-G-I-K-L,M87,L
C-D-E-F-G-I-J-L,M74,D
C-D-E-F-G-I-J-L,M77,F
C-D-E-F-G-I-J-L,M79,C
C-D-E-F-G-I-J-L,M80,I
C-D-E-F-G-I-J-L,M81,E
C-D-E-F-G-I-J-L,M82,J
C-D-E-F-G-I-J-L,M85,G
C-D-E-F-G-I-J-L,M87,L
C-D-E-F-G-I-J-K,M74,D
C-D-E-F-G-I-J-K,M77,F
C-D-E-F-G-I-J-K,M79,C
C-D-E-F-G-I-J-K,M80,K
C-D-E-F-G-I-J-K,M81,E
C-D-E-F-G-I-J-K,M82,J
C-D-E-F-G-I-J-K,M85,G
C-D-E-F-G-I-J-K,M87,I
C-D-E-F-G-H-K-L,M74,D
C-D-E-F-G-H-K-L,M77,F
C-D-E-F-G-H-K-L,M79,C
C-D-E-F-G-H-K-L,M80,K
C-D-E-F-G-H-K-L,M81,E
C-D-E-F-G-H-K-L,M82,H
C-D-E-F-G-H-K-L,M85,G
C-D-E-F-G-H-K-L,M87,L
C-D-E-F-G-H-J-L,M74,D
C-D-E-F-G-H-J-L,M77,F
C-D-E-F-G-H-J-L,M79,C
C-D-E-F-G-H-J-L,M80,E
C-D-E-F-G-H-J-L,M81,J
C-D-E-F-G-H-J-L,M82,H
